"eid","code","name","countrycode","statecode","metrocode","citycode","phoneprefix","type","lat","lon"
"ap/TUL","TUL","Tulsa Intl","US","OK","","TUL","",2,36.19,-95.88
"ap/TUN","TUN","Carthage Arpt","TN","","","TUN","",2,36.85,10.23
"ap/TUO","TUO","Taupo Arpt","NZ","","","TUO","",2,-38.74,176.08
"ap/TUP","TUP","C D Lemons Municipal Arpt","US","MS","","TUP","QHF",2,34.26,-88.76
"ap/TUR","TUR","Tucurui Arpt","BR","","","TUR","",2,-3.75,-49.71
"ap/TUS","TUS","Tucson Intl Arpt","US","AZ","","TUS","",2,32.12,-110.93
"ap/TUU","TUU","Tabuk Arpt","SA","","","TUU","",2,28.36,36.58
"ap/TUY","TUY","Tulum Arpt","MX","","","TUY","",9,20.21,-87.46
"ap/TVC","TVC","Cherry Capital Arpt","US","MI","","TVC","",2,44.74,-85.58
"ap/TVF","TVF","Thief River Falls Numicipal","US","MN","","TVF","",2,48.06,-96.17
"ap/TVL","TVL","Lake Tahoe Arpt","US","CA","","TVL","",2,38.89,-119.99
"ap/TVU","TVU","Matei Arpt","FJ","","","TVU","",2,-16.68,179.87
"ap/TWA","TWA","Twin Hills Arpt","US","AK","","TWA","",3,59.38,-159.96
"ap/TWB","TWB","Toowoomba Arpt","AU","QL","","TWB","QHF",2,-27.56,151.95
"ap/TWF","TWF","Twin Falls City County Arpt","US","ID","","TWF","QHF",2,42.48,-114.48
"ap/TWU","TWU","Tawau Arpt","MY","","","TWU","",2,4.25,117.88
"ap/TXG","TXG","Taichung Arpt","TW","","","TXG","QHF",2,24.15,120.64
"ap/TXK","TXK","Texarkana Municipal","US","AR","","TXK","",2,33.45,-93.99
"ap/TXL","TXL","Tegel Airport","DE","","BER","BER","",2,52.55,13.29
"ap/TXN","TXN","Tunxi Arpt","CN","","","TXN","QHF",2,29.73,118.3
"ap/TYN","TYN","Taiyuan Arpt","CN","","","TYN","QHF",2,37.82,112.55
"ap/TYR","TYR","Pounds Field","US","TX","","TYR","",2,32.35,-95.39
"ap/TYS","TYS","McGhee Tyson Arpt","US","TN","","TYS","",2,35.81,-83.99
"ap/TZA","TZA","Belize City Municipal","BZ","","QBZ","BZE","",2,17.48,-88.18
"ap/TZL","TZL","Tuzla Intl Arpt","BA","","","TZL","",9,44.4,18.4
"ap/TZN","TZN","South Andros Arpt","BS","","","TZN","",2,24.23,-77.58
"ap/TZX","TZX","Trabzon Arpt","TR","","","TZX","",2,40.98,39.76
"ap/UAC","UAC","San Luis Rio Colorado Municipal","MX","","","UAC","",9,25.45,-104.8
"ap/UAK","UAK","Narsarsuaq Arpt","GL","","","UAK","",2,61.13,-45.36
"ap/UAM","UAM","Anderson Air Force Base","GU","","","GUM","",9,13.45,144.75
"ap/UAQ","UAQ","San Juan Arpt","AR","","","UAQ","",2,-31.6,-68.55
"ap/UAS","UAS","Samburu Airstrip","KE","","","UAS","",2,0.46,37.56
"ap/UBA","UBA","Uberaba Airport","BR","","","UBA","",2,-19.78,-47.96
"ap/UBJ","UBJ","Ube Airport","JP","","","UBJ","",2,33.93,131.28
"ap/UBP","UBP","Muang Ubon Arpt","TH","","","UBP","",2,15.23,104.86
"ap/UBS","UBS","Lowndes Cty Arpt","US","MS","","GTR","",9,33.46,-88.38
"ap/UCA","UCA","Oneida County Arpt","US","NY","","UCA","",9,43.14,-75.38
"ap/UCK","UCK","Lutsk Arpt","UA","","","UCK","",9,50.75,25.33
"ap/UDD","UDD","Bermuda Dunes Arpt","US","CA","","UDD","",9,33.74,-116.38
"ap/UDE","UDE","Volkel Arpt","NL","","","UDE","",9,52,6
"ap/UDI","UDI","Eduardo Gomes Airprt","BR","","","UDI","",2,-18.9,-48.25
"ap/UDN","UDN","Campoformido Arpt","IT","","","UDN","",9,46.03,13.18
"ap/UDR","UDR","Dabok Airport","IN","","","UDR","",2,24.61,73.9
"ap/UEE","UEE","Queenstown Arpt","AU","TS","","UEE","QHF",9,-42,145.5
"ap/UEO","UEO","Kumejima Arpt","JP","","","UEO","",2,26.36,126.71
"ap/UFA","UFA","Ufa Arpt","RU","","","UFA","",2,54.73,55.93
"ap/UGC","UGC","Urgench Arpt","UZ","","","UGC","",2,41.57,60.63
"ap/UGN","UGN","Memorial Arpt","US","IL","","UGN","",9,42.41,-87.86
"ap/UHE","UHE","Uherske Hradiste Kunovice Arpt","CZ","","","UHE","QHF",9,49.03,17.45
"ap/UIH","UIH","Qui Nhon Arpt","VN","","","UIH","",2,13.76,109.21
"ap/UIN","UIN","Baldwin Field","US","IL","","UIN","",2,39.93,-91.19
"ap/UIO","UIO","Mariscal Arpt","EC","","","UIO","",2,-0.03,-78.51
"ap/UIP","UIP","Pluguffan Arpt","FR","","","UIP","",2,48,-4.1
"ap/UIR","UIR","Quirindi Arpt","AU","NS","","UIR","QHF",9,-31.5,150.51
"ap/UIZ","UIZ","Berz Macomb Arpt","US","MI","","DTT","",9,42.65,-82.95
"ap/UKB","UKB","Kobe Arpt","JP","","","UKB","QHF",3,34.68,135.16
"ap/UKI","UKI","Ukiah Arpt","US","CA","","UKI","",2,39.12,-123.2
"ap/UKK","UKK","Ust Kamenogorsk Arpt","KZ","","","UKK","",2,50.03,82.5
"ap/UKT","UKT","Upper Bucks Arpt","US","PA","","UKT","",9,40.43,-75.33
"ap/UKY","UKY","Kyoto Arpt","JP","","","UKY","",9,34.99,135.76
"ap/ULC","ULC","Los Cerrillos","CL","","","SCL","",9,-33.48,-70.7
"ap/ULM","ULM","New Ulm Arpt","US","MN","","ULM","",9,44.31,-94.5
"ap/ULN","ULN","Buyant Uhaa Airport","MN","","","ULN","",2,47.9,106.86
"ap/ULP","ULP","Quilpie Arpt","AU","QL","","ULP","QHF",2,-26.63,144.3
"ap/UME","UME","Umea Airport","SE","","","UME","",2,63.79,20.28
"ap/UMU","UMU","Ernesto Geisel Arpt","BR","","","UMU","",9,-23.75,-53.33
"ap/UMY","UMY","Sumy Arpt","UA","","","UMY","",9,50.93,34.78
"ap/UNA","UNA","Una Airport","BR","","","UNA","",2,-15.35,-38.99
"ap/UNI","UNI","Union Island Arpt","VC","","","UNI","",2,12.61,-61.43
"ap/UNK","UNK","Unalakleet Arpt","US","AK","","UNK","QHF",2,63.88,-160.79
"ap/UNN","UNN","Ranong Arpt","TH","","","UNN","",2,9.96,98.58
"ap/UNT","UNT","Baltasound Arpt","GB","","","UNT","",9,60.75,-0.85
"ap/UOX","UOX","University Oxford","US","MS","","UOX","",9,34.38,-89.53
"ap/UPG","UPG","Hasanudin Arpt","ID","","","UPG","",2,-5.06,119.55
"ap/UPN","UPN","Uruapan Arpt","MX","","","UPN","",2,19.4,-102.04
"ap/URA","URA","Uralsk Arpt","KZ","","","URA","QHF",2,51.15,51.55
"ap/URC","URC","Urumqi Arpt","CN","","","URC","",2,43.9,87.48
"ap/URE","URE","Kuressaare Arpt","EE","","","URE","QHF",2,58.22,22.5
"ap/URG","URG","Ruben Berta Arpt","BR","","","URG","",9,-29.77,-57.03
"ap/URO","URO","Boos Airport","FR","","","URO","",2,49.38,1.18
"ap/URS","URS","Kursk Arpt","RU","","","URS","",9,51.76,36.23
"ap/URT","URT","Surat Thani Arpt","TH","","","URT","",2,9.13,99.13
"ap/URY","URY","Gurayat Arpt","SA","","","URY","QHF",2,31.4,37.25
"ap/USH","USH","Islas Malvinas Arpt","AR","","","USH","",2,-54.81,-68.31
"ap/USK","USK","Usinsk Arpt","RU","","","USK","QHF",9,65.95,57.45
"ap/USL","USL","Useless Loop Arpt","AU","WA","","USL","QHF",9,-25.96,113.11
"ap/USM","USM","Koh Samui Arpt","TH","","","USM","",2,9.55,100.06
"ap/USN","USN","Ulsan Arpt","KR","","","USN","",2,35.58,129.35
"ap/USS","USS","Sancti Spiritus Arpt","CU","","","USS","",9,21.96,-79.43
"ap/UST","UST","St Augustine Arpt","US","FL","","UST","",9,29.95,-81.33
"ap/UTA","UTA","Mutare Arpt","ZW","","","UTA","",9,-18.96,32.45
"ap/UTH","UTH","Udon Thani Arpt","TH","","","UTH","",2,17.38,102.78
"ap/UTN","UTN","Upington Airport","ZA","","","UTN","",2,-28.41,21.26
"ap/UTP","UTP","U Tapao Arpt","TH","","","UTP","",2,12.67,101
"ap/UTT","UTT","K D Matanzima Arpt","ZA","","","UTT","QHF",2,-31.55,28.66
"ap/UTW","UTW","Queenstown Airport","ZA","","","UTW","",9,-31.91,26.88
"ap/UUD","UUD","Ulan Ude Arpt","RU","","","UUD","",2,51.83,107.5
"ap/UUS","UUS","Yuzhno Sakhalinsk Arpt","RU","","","UUS","",2,46.88,142.71
"ap/UVF","UVF","Hewanorra Arpt","LC","","","UVF","QHF",2,13.73,-60.95
"ap/UVL","UVL","Kharga Arpt","EG","","","UVL","",2,25.28,30.58
"ap/VAA","VAA","Vaasa Arpt","FI","","","VAA","",2,63.04,21.76
"ap/VAF","VAF","Chabeuil Airport","FR","","","VAF","",9,44.93,4.9
"ap/VAG","VAG","Maj Brig Trompowsky Arpt","BR","","","VAG","",9,-21.55,-45.43
"ap/VAI","VAI","Vanimo Arpt","PG","","","VAI","",2,-2.68,141.3
"ap/VAN","VAN","Van Arpt","TR","","","VAN","QHF",3,38.45,43.33
"ap/VAR","VAR","Varna","BG","","","VAR","",2,43.21,27.81
"ap/VAS","VAS","Sivas Arpt","TR","","","VAS","QHF",3,39.81,36.9
"ap/VAV","VAV","Lupepau U Arpt","TO","","","VAV","",2,-18.6,-174
"ap/VAW","VAW","Vardoe Luftan","NO","","","VAW","",2,70.35,31.03
"ap/VBS","VBS","Montichiari Arpt","IT","","","VRN","QHF",2,45.4,10.31
"ap/VBY","VBY","Visby Airport","SE","","","VBY","",2,57.66,18.34
"ap/VCA","VCA","Can Tho Arpt","VN","","","VCA","",9,10.05,105.76
"ap/VCE","VCE","Marco Polo Arpt","IT","","","VCE","",2,45.5,12.34
"ap/VCL","VCL","Chulai Arpt","VN","","","VCL","QHF",2,15.42,108.7
"ap/VCP","VCP","Viracopos Arpt","BR","","SAO","SAO","",2,-23,-47.13
"ap/VCT","VCT","Victoria Regional Arpt","US","TX","","VCT","",2,28.85,-96.91
"ap/VCV","VCV","George AFB","US","CA","","VCV","",9,34.51,-117.35
"ap/VDA","VDA","Ovda Arpt","IL","","","VDA","",2,29.93,34.93
"ap/VDB","VDB","Valdres Arpt","NO","","","VDB","",2,61.08,9.33
"ap/VDC","VDC","Vitoria Da Conquista Arpt","BR","","","VDC","",2,-14.88,-40.86
"ap/VDE","VDE","Hierro Arpt","ES","","","VDE","",2,27.81,-17.88
"ap/VDI","VDI","Vidalia Municipal Arpt","US","GA","","VDI","",9,32.18,-82.36
"ap/VDM","VDM","Viedma Arpt","AR","","","VDM","QHF",3,-40.85,-63.01
"ap/VDS","VDS","Vadso","NO","","","VDS","",2,70.06,29.85
"ap/VDZ","VDZ","Valdez Municipal Arpt","US","AK","","VDZ","",2,61.13,-146.24
"ap/VEJ","VEJ","Vejle Arpt","DK","","","VEJ","",9,55.7,9.53
"ap/VEL","VEL","Vernal Municipal","US","UT","","VEL","",2,40.43,-109.51
"ap/VER","VER","Las Bajadas General Heriberto Jara","MX","","","VER","",2,19.13,-96.18
"ap/VEY","VEY","Vestmannaeyjar Arpt","IS","","","VEY","",9,63.42,-20.27
"ap/VFA","VFA","Victoria Falls Arpt","ZW","","","VFA","",2,-18.08,25.83
"ap/VGD","VGD","Vologda Arpt","RU","","","VGD","",9,59.16,39.91
"ap/VGO","VGO","Vigo Airport","ES","","","VGO","",2,42.23,-8.62
"ap/VGT","VGT","Las Vegas North Air Terminal","US","NV","","LAS","",9,36.2,-115.18
"ap/VHM","VHM","Vilhelmina Arpt","SE","","","VHM","",2,64.56,16.83
"ap/VHN","VHN","Culberson Cty Arpt","US","TX","","VHN","",9,31.05,-104.76
"ap/VHY","VHY","Charmeil Arpt","FR","","","VHY","",9,46.16,3.4
"ap/VIB","VIB","Villa Constitucion Arpt","MX","","","VIB","",9,25.05,-111.7
"ap/VIC","VIC","Vicenza Arpt","IT","","","VIC","",9,45.69,11.42
"ap/VIE","VIE","Vienna Intl Arpt","AT","","","VIE","",2,48.12,16.56
"ap/VIF","VIF","Vieste Arpt","IT","","","VIF","",9,41.88,16.17
"ap/VIG","VIG","El Vigia Arpt","VE","","","VIG","",2,8.63,-71.65
"ap/VII","VII","Vinh City Arpt","VN","","","VII","",2,18.7,105.63
"ap/VIJ","VIJ","Virgin Gorda Arpt","VG","","","VIJ","",2,18.45,-64.41
"ap/VIL","VIL","Dakhla Airport","MA","","","VIL","",2,23.7,-15.93
"ap/VIN","VIN","Vinnitsa Arpt","UA","","","VIN","",9,49.23,28.48
"ap/VIR","VIR","Virginia Arpt","ZA","","","DUR","",9,-29.76,31.05
"ap/VIS","VIS","Visalia Municipal","US","CA","","VIS","",2,36.31,-119.38
"ap/VIT","VIT","Vitoria Arpt","ES","","","VIT","",2,42.88,-2.71
"ap/VIX","VIX","Eurico Sales Arpt","BR","","","VIX","",2,-20.31,-40.35
"ap/VJI","VJI","Virginia Highlands Arpt","US","VA","","VJI","",9,36.7,-81.97
"ap/VKG","VKG","Rach Gia Arpt","VN","","","VKG","",2,9.99,105.09
"ap/VKO","VKO","Vnukovo Arpt","RU","","MOW","MOW","",2,55.6,37.28
"ap/VKS","VKS","Vicksburg Arpt","US","MS","","VKS","",9,32.23,-90.91
"ap/VLC","VLC","Valencia Arpt","ES","","","VLC","",2,39.49,-0.48
"ap/VLD","VLD","Valdosta Regional","US","GA","","VLD","",2,30.78,-83.27
"ap/VLG","VLG","Villa Gesell Arpt","AR","","","VLG","",9,-38.01,-57.58
"ap/VLI","VLI","Bauerfield Arpt","VU","","","VLI","",2,-17.66,168.23
"ap/VLL","VLL","Valladolid Arpt","ES","","","VLL","",2,41.7,-4.85
"ap/VLN","VLN","Valenica Arpt","VE","","","VLN","",2,10.15,-68.03
"ap/VLO","VLO","Stolport Arpt","US","CA","","VLO","",9,38.11,-122.23
"ap/VLV","VLV","Carvajal Arpt","VE","","","VLV","",2,9.31,-70.61
"ap/VLY","VLY","Anglesey Arpt","GB","","","VLY","QHF",9,53.24,-4.53
"ap/VME","VME","Villa Mercedes Arpt","AR","","","VME","",9,-33.64,-65.41
"ap/VMI","VMI","Inc Arpt","PY","","","VMI","",2,-22.25,-58
"ap/VNC","VNC","Venice Municipal Airport","US","FL","","VNC","QHF",2,27.07,-82.43
"ap/VNE","VNE","Muecon Arpt","FR","","","VNE","",9,47.65,-2.76
"ap/VNO","VNO","Vilnius Arpt","LT","","","VNO","",2,54.63,25.28
"ap/VNS","VNS","Babatpur Airport","IN","","","VNS","",2,25.45,82.86
"ap/VNX","VNX","Vilanculos Arpt","MZ","","","VNX","",2,-22.03,35.3
"ap/VNY","VNY","Van Nuys Arpt","US","CA","","LAX","QHF",9,34.2,-118.49
"ap/VOG","VOG","Volgograd Arpt","RU","","","VOG","",2,48.75,44.5
"ap/VOL","VOL","Nea Anchialos Arpt","GR","","","VOL","",9,39.33,22.83
"ap/VOZ","VOZ","Voronezh Arpt","RU","","","VOZ","QHF",9,51.81,39.27
"ap/VPS","VPS","Ft Walton Beach Arpt","US","FL","","VPS","",2,30.49,-86.5
"ap/VPZ","VPZ","Porter County","US","IN","","VPZ","",9,41.44,-87
"ap/VQS","VQS","Vieques Arpt","US","PR","","VQS","QHF",3,18.13,-65.49
"ap/VRA","VRA","Juan Gualberto Gomez Arpt","CU","","","VRA","",2,23.15,-81.26
"ap/VRB","VRB","Vero Beach Municipal Arpt","US","FL","","VRB","",9,27.65,-80.41
"ap/VRK","VRK","Varkaus","FI","","","VRK","",2,62.16,27.26
"ap/VRL","VRL","Vila Real Arpt","PT","","","VRL","",2,41.27,-7.72
"ap/VRN","VRN","Verona Airport","IT","","","VRN","",2,45.47,10.92
"ap/VRO","VRO","Kawama Arpt","CU","","","VRO","",9,23.13,-81.3
"ap/VSA","VSA","Capt Carlos Rovirosa Perez","MX","","","VSA","",2,17.99,-92.78
"ap/VSG","VSG","Lugansk Arpt","UA","","","VSG","",2,48.56,39.33
"ap/VST","VST","Hasslo Airport","SE","","","STO","",2,59.59,16.63
"ap/VTB","VTB","Vitebsk Arpt","BY","","","VTB","",2,55.16,30.23
"ap/VTE","VTE","Wattay Arpt","LA","","","VTE","",2,17.98,102.56
"ap/VTZ","VTZ","Vishakhapatnam","IN","","","VTZ","",2,17.71,83.21
"ap/VVI","VVI","Viru Viru Intl Arpt","BO","","","SRZ","",2,-17.63,-63.13
"ap/VVO","VVO","Vladivostok Arpt","RU","","","VVO","",2,43.21,131.66
"ap/VXE","VXE","San Pedro Airport","CV","","","VXE","",2,16.85,-24.96
"ap/VXO","VXO","Vaxjo Airport","SE","","","VXO","",2,56.91,14.71
"ap/VYD","VYD","Vryheid Arpt","ZA","","","VYD","",9,-27.78,30.8
"ap/VYS","VYS","Illinois Valley Regional Arpt","US","IL","","VYS","QHF",9,41.35,-89.14
"ap/WAG","WAG","Wanganui Arpt","NZ","","","WAG","",2,-39.96,175.01
"ap/WAL","WAL","Wallops Arpt","US","VA","","WAL","",9,37.91,-75.38
"ap/WAT","WAT","Waterford Arpt","IE","","","WAT","",2,52.16,-7.08
"ap/WAW","WAW","Warsaw Intl Arpt","PL","","","WAW","",2,52.16,20.96
"ap/WAZ","WAZ","Warwick Arpt","AU","QL","","WAZ","QHF",9,-28.2,152
"ap/WBU","WBU","Boulder Municipal Arpt","US","CO","","WBU","",9,40.03,-105.23
"ap/WDG","WDG","Woodring Municipal","US","OK","","WDG","",2,36.39,-97.87
"ap/WDH","WDH","Hosea Kutako International Arpt","NA","","","WDH","",2,-22.48,17.46
"ap/WEA","WEA","Parker County Airport","US","TX","","WEA","",9,32.75,-97.76
"ap/WEF","WEF","Weifang Arpt","CN","","","WEF","QHF",3,36.75,119.21
"ap/WEH","WEH","Weihai Arpu","CN","","","WEH","",2,37.5,122.08
"ap/WEI","WEI","Weipa Arpt","AU","QL","","WEI","QHF",2,-12.67,141.91
"ap/WEL","WEL","Welkom Arpt","ZA","","","WEL","",9,-28,26.75
"ap/WEW","WEW","Wee Waa Airport","AU","NS","","WEW","QHF",9,-30.25,149.41
"ap/WEX","WEX","Castlebridge Arpt","IE","","","WEX","",9,52.4,-6.5
"ap/WGA","WGA","Forrest Hill Arpt","AU","NS","","WGA","QHF",2,-35.11,147.36
"ap/WGE","WGE","Walgett Arpt","AU","NS","","WGE","QHF",2,-30.03,148.12
"ap/WGO","WGO","Winchester Arpt","US","VA","","WGO","",9,39.13,-78.13
"ap/WGT","WGT","Wangaratta","AU","VI","","WGT","QHF",9,-36.36,146.33
"ap/WHK","WHK","Whakatane Arpt","NZ","","","WHK","",2,-37.93,176.93
"ap/WHL","WHL","Welshpool Arpt","AU","VI","","WHL","QHF",9,-38.68,146.45
"ap/WIC","WIC","Wick Arpt","GB","","","WIC","",2,58.45,-3.1
"ap/WIL","WIL","Wilson Airport","KE","","","NBO","",2,-1.31,36.8
"ap/WJF","WJF","Williams J Fox Arpt","US","CA","","WJF","",9,34.73,-118.21
"ap/WKA","WKA","Wanaka Arpt","NZ","","","WKA","",2,-44.73,169.25
"ap/WKJ","WKJ","Hokkaido Arpt","JP","","","WKJ","",2,45.4,141.8
"ap/WLD","WLD","Arkansas City Arpt","US","KS","","WLD","",9,37.16,-97.03
"ap/WLG","WLG","Wellington Arpt","NZ","","","WLG","QHF",2,-41.32,174.8
"ap/WLK","WLK","Selawik Arpt","US","AK","","WLK","QHF",2,66.6,-159.98
"ap/WMB","WMB","Warrnambool Arpt","AU","VI","","WMB","QHF",9,-38.38,142.5
"ap/WMC","WMC","Winnemucca Municipal Arpt","US","NV","","WMC","",9,40.89,-117.8
"ap/WMH","WMH","Mountain Home Arpt","US","AR","","WMH","",9,36.36,-92.46
"ap/WNR","WNR","Windorah Arpt","AU","QL","","WNR","QHF",2,-25.41,142.66
"ap/WNS","WNS","Nawabshah Arpt","PK","","","WNS","",9,26.25,68.36
"ap/WNZ","WNZ","Wenzhou Arpt","CN","","","WNZ","",2,28,121.66
"ap/WOL","WOL","Wollongong Arpt","AU","NS","","WOL","QHF",9,-34.56,150.78
"ap/WPA","WPA","Puerto Aisen Arpt","CL","","","WPA","",9,-45.4,-72.7
"ap/WRE","WRE","Whangarei Arpt","NZ","","","WRE","",2,-35.76,174.36
"ap/WRG","WRG","Wrangell Seaplane Base","US","AK","","WRG","QHF",2,56.48,-132.36
"ap/WRL","WRL","Worland Municipal","US","WY","","WRL","",2,43.97,-107.95
"ap/WRO","WRO","Strachowice","PL","","","WRO","",2,51.13,16.96
"ap/WRY","WRY","Westray Arpt","GB","","","WRY","",2,59.35,-2.95
"ap/WST","WST","Westerly Municipal","US","RI","","WST","",2,41.33,-71.76
"ap/WSY","WSY","Whitsunday Airstrip","AU","QL","","WSY","QHF",9,-20.28,148.78
"ap/WSZ","WSZ","Westport Airport","NZ","","","WSZ","",2,-41.73,171.58
"ap/WUH","WUH","Wuhan Arpt","CN","","","WUH","",2,30.5,114.31
"ap/WUN","WUN","Wiluna Arpt","AU","WA","","WUN","QHF",3,-26.63,120.21
"ap/WUS","WUS","Wuyishan Arpt","CN","","","WUS","QHF",2,27.71,117.96
"ap/WUX","WUX","Wuxi Arpt","CN","","","WUX","QHF",2,31.58,120.31
"ap/WVB","WVB","Rooikop Arpt","NA","","","WVB","",2,-22.96,14.48
"ap/WVI","WVI","Watsonville Municipal Arpt","US","CA","","WVI","",9,36.93,-121.78
"ap/WVL","WVL","Robert La Fleur Arpt","US","ME","","WVL","",9,44.53,-69.66
"ap/WVN","WVN","Wilhelmshaven Arpt","DE","","","WVN","",2,53.5,8.05
"ap/WWD","WWD","Cape May Arpt","US","NJ","","WWD","",9,39,-74.91
"ap/WWK","WWK","Boram Arpt","PG","","","WWK","",2,-3.62,143.63
"ap/WWR","WWR","West Woodward Arpt","US","OK","","WWR","",9,36.43,-99.51
"ap/WXF","WXF","Wether Field RAF","GB","","","WXF","",9,51.88,0.53
"ap/WXN","WXN","Wanxian Arpt","CN","","","WXN","",2,30.9,108.33
"ap/WYA","WYA","Whyalla Arpt","AU","SA","","WYA","QHF",2,-33.05,137.51
"ap/WYN","WYN","Wyndham Arpt","AU","WA","","WYN","QHF",9,-15.51,128.15
"ap/WYS","WYS","West Yellowstone Arpt","US","MT","","WYS","",2,44.68,-111.11
"ap/WZY","WZY","Seaplane Base Arpt","BS","","","NAS","",9,25.06,-77.28
"ap/XAD","XAD","Churchill Rail Station","CA","MB","","YYQ","",6,58.7,-94.01
"ap/XAL","XAL","Alamos Arpt","MX","","","XAL","",9,27.03,-108.95
"ap/XAP","XAP","Chapeco Arpt","BR","","","XAP","",2,-27.08,-52.62
"ap/XAW","XAW","Capreol Rail Station","CA","ON","","XAW","",6,46.71,-80.93
"ap/XAX","XAX","Dorval Rail Station","CA","PQ","","YMQ","",6,45.51,-73.56
"ap/XAZ","XAZ","Campbellton Rail Station","CA","NB","","XAZ","",6,45.83,-66
"ap/XBR","XBR","Brockville Arpt","CA","ON","","XBR","QHF",2,44.63,-75.75
"ap/XBW","XBW","Killineq Arpt","CA","PQ","","XBW","",9,60.41,-64.86
"ap/XCH","XCH","Christmas Island Arpt","CX","","","XCH","",2,-10.45,105.66
"ap/XCI","XCI","Chambord Rail Station","CA","PQ","","XCI","",6,48.43,-72.06
"ap/XCM","XCM","Chatham Airport","CA","ON","","XCM","QHF",2,42.4,-82.18
"ap/XCO","XCO","Colac Arpt","AU","VI","","XCO","QHF",9,-38.33,143.58
"ap/XCR","XCR","Vatry Arpt","FR","","","PAR","QHF",2,48.76,4.2
"ap/XDD","XDD","Gaspe Rail Station","CA","PQ","","YGP","",6,48.76,-64.48
"ap/XDG","XDG","Halifax Rail Station","CA","NS","","YHZ","",6,44.65,-63.6
"ap/XDH","XDH","Jasper Rail Station","CA","AB","","YJA","",6,52.88,-118.08
"ap/XDK","XDK","Dunkerque Arpt","FR","","","XDK","",9,51.03,2.38
"ap/XDL","XDL","Chandler Rail Station","CA","PQ","","XDL","",6,48.35,-64.68
"ap/XDM","XDM","Drummondville Rail Station","CA","PQ","","XDM","",6,45.88,-72.48
"ap/XDO","XDO","Grande-Riviere Rail Station","CA","PQ","","XDO","",6,48.4,-64.5
"ap/XDP","XDP","Moncton Rail Station","CA","NB","","YQM","",6,46.11,-64.85
"ap/XDQ","XDQ","London Rail Station","CA","ON","","YXU","",6,43.03,-81.15
"ap/XDS","XDS","Ottawa Rail Station","CA","ON","","YOW","",6,45.31,-75.66
"ap/XDU","XDU","Hervey Rail Station","CA","PQ","","XDU","",6,45.85,-72.46
"ap/XDV","XDV","Prince George Rail Station","CA","BC","","YXS","",6,53.88,-122.68
"ap/XDW","XDW","Prince Rupert Rail Station","CA","BC","","YPR","",6,54.28,-130.45
"ap/XDX","XDX","Sarina Rail Station","CA","ON","","YZR","",6,43,-82.3
"ap/XDY","XDY","Sudbury Junction Rail Station","CA","ON","","YSB","",6,46.61,-80.8
"ap/XDZ","XDZ","The Pas Rail Station","CA","MB","","YQD","",6,53.96,-101.1
"ap/XEA","XEA","Vancouver Rail Station","CA","BC","","YVR","",6,49.18,-123.18
"ap/XEC","XEC","Windsor Rail Station","CA","ON","","YQG","",6,42.26,-82.96
"ap/XEE","XEE","Lac Edouard Rail Station","CA","PQ","","XEE","",6,47.65,-72.26
"ap/XEF","XEF","Winnipeg Rail Station","CA","MB","","YWG","QHF",6,49.88,-97.13
"ap/XEG","XEG","Kingston Rail Station","CA","ON","","YGK","",6,44.23,-76.58
"ap/XEH","XEH","Ladysmith Rail Station","CA","BC","","XEH","",6,48.98,-123.8
"ap/XEJ","XEJ","Langford Rail Station","CA","BC","","XEJ","",6,48.43,-123.48
"ap/XEK","XEK","Melville Rail Station","CA","SK","","XEK","",6,50.91,-102.8
"ap/XEL","XEL","New Carlisle Rail Station","CA","PQ","","XEL","",6,48.01,-65.33
"ap/XEM","XEM","New Richmond Rail Station","CA","PQ","","XEM","",6,48.33,-65.83
"ap/XER","XER","Strasbourg Bus Service","FR","","","SXB","",5,48.58,7.73
"ap/XEV","XEV","Stockholm Rail Station","SE","","","STO","",6,59.33,18.06
"ap/XEW","XEW","Flemingsberg Rail Station","SE","","","STO","",6,59.21,17.95
"ap/XEY","XEY","Newcastle Rail Station","CA","NB","","YCH","",6,47,-65.56
"ap/XEZ","XEZ","Sodertalje S Rail Station","SE","","","JSO","",6,59.2,17.61
"ap/XFA","XFA","Lille Flanders Rail Service","FR","","","LIL","QHF",6,50.63,3.06
"ap/XFD","XFD","Stratford Rail Station","CA","ON","","XFD","",6,43.36,-80.95
"ap/XFE","XFE","Parent Rail Station","CA","PQ","","XFE","",6,47.91,-74.61
"ap/XFG","XFG","Perce Rail Station","CA","PQ","","XFG","",6,48.46,-64.31
"ap/XFI","XFI","Port-Daniel Rail Station","CA","PQ","","XFI","",6,48.18,-64.96
"ap/XFJ","XFJ","Eskilstuna Rail Station","SE","","","EKT","",6,59.36,16.5
"ap/XFK","XFK","Senneterre Rail Station","CA","PQ","","XFK","",6,48.38,-77.25
"ap/XFL","XFL","Shawinigan Rail Station","CA","PQ","","XFL","",6,46.55,-72.75
"ap/XFM","XFM","Shawnigan Rail Station","CA","BC","","XFM","",6,48.65,-123.61
"ap/XFN","XFN","Xiangfan Arpt","CN","","","XFN","",2,32.08,112.05
"ap/XFO","XFO","Taschereau Rail Station","CA","PQ","","XFO","",6,48.66,-78.68
"ap/XFP","XFP","Malmo Railway Service","SE","","","MMA","",6,55.6,13
"ap/XFQ","XFQ","Weymont Rail Station","CA","PQ","","XFQ","",6,47.9,-73.75
"ap/XFR","XFR","Malmo South Railway Service","SE","","","MMA","",6,55.55,12.98
