"eid","code","name","countrycode","statecode","metrocode","citycode","phoneprefix","type","lat","lon"
"ap/MMU","MMU","Morristown Arpt","US","NJ","","MMU","",9,40.79,-74.42
"ap/MMX","MMX","Sturup Arpt","SE","","MMA","MMA","",2,55.53,13.37
"ap/MMY","MMY","Hirara Arpt","JP","","","MMY","",2,24.77,125.29
"ap/MNI","MNI","Bramble Arpt","DM","","","MNI","",9,16.7,-62.02
"ap/MNK","MNK","Maiana Airport","KI","","","MNK","",9,0.03,173
"ap/MNL","MNL","Ninoy Aquino Intl","PH","","","MNL","",2,14.51,121.01
"ap/MNM","MNM","Menominee County","US","MI","","MNM","",9,45.12,-87.63
"ap/MNQ","MNQ","Monto Arpt","AU","QL","","MNQ","QHF",9,-24.9,151.11
"ap/MNZ","MNZ","Manassas Arpt","US","VA","","MNZ","QHF",3,38.72,-77.51
"ap/MOB","MOB","Mobile Municipal","US","AL","","MOB","",2,30.68,-88.24
"ap/MOC","MOC","Montes Claros Arpt","BR","","","MOC","",2,-16.7,-43.81
"ap/MOD","MOD","Harry Sham Fld","US","CA","","MOD","",2,37.61,-120.93
"ap/MOI","MOI","Mitiaro Island Arpt","CK","","","MOI","QHF",9,-19.81,-157.71
"ap/MOL","MOL","Aro Arpt","NO","","","MOL","",2,62.73,7.18
"ap/MON","MON","Mount Cook Arpt","NZ","","","MON","",9,-43.76,170.13
"ap/MOP","MOP","Mt Pleasant Municipal","US","MI","","MOP","",9,43.61,-84.73
"ap/MOQ","MOQ","Morondava Arpt","MG","","","MOQ","",2,-20.28,44.31
"ap/MOT","MOT","Minot Intl","US","ND","","MOT","",2,48.25,-101.28
"ap/MOU","MOU","Mountain Village Arpt","US","AK","","MOU","",2,62.09,-163.67
"ap/MOV","MOV","Moranbah Arpt","AU","QL","","MOV","QHF",2,-22.06,148.08
"ap/MOZ","MOZ","Temae Airport","PF","","","MOZ","",2,-17.5,-149.83
"ap/MPB","MPB","MPB Seaplane Base","US","FL","","MIA","QHF",2,25.6,-80.47
"ap/MPH","MPH","Malay Arpt","PH","","","MPH","",2,11.92,121.95
"ap/MPK","MPK","Mokpo Arpt","KR","","","MPK","",2,34.75,126.38
"ap/MPL","MPL","Frejorgues Arpt","FR","","","MPL","",2,43.57,3.96
"ap/MPM","MPM","Maputo Intl","MZ","","","MPM","",2,-25.91,32.56
"ap/MPN","MPN","Mount Pleasant Arpt","FK","","","MPN","",2,-51.81,-58.45
"ap/MPQ","MPQ","Maan Arpt","JO","","","MPQ","",9,30.16,35.8
"ap/MPR","MPR","McPherson Arpt","US","KS","","MPR","",9,38.35,-97.68
"ap/MPV","MPV","E F Knapp Arpt","US","VT","","MPV","",9,44.02,-72.56
"ap/MPW","MPW","Mariupol Arpt","UA","","","MPW","QHF",2,47.1,37.55
"ap/MQF","MQF","Magnitogorsk Arpt","RU","","","MQF","QHF",2,53.43,59.08
"ap/MQJ","MQJ","Merkez Arpt","TR","","","BZI","",9,39.61,27.93
"ap/MQK","MQK","San Matias Arpt","BO","","","MQK","",9,-16.33,-58.38
"ap/MQL","MQL","Mildura Arpt","AU","VI","","MQL","QHF",2,-34.22,142.08
"ap/MQM","MQM","Mardin Arpt","TR","","","MQM","",2,37.21,40.62
"ap/MQN","MQN","Rossvoll","NO","","","MQN","",2,66.36,14.3
"ap/MQP","MQP","Kruger Mpumalanga Intl Arpt","ZA","","","NLP","",2,-25.39,31.09
"ap/MQS","MQS","Mustique Arpt","DM","","","MQS","QHF",2,12.88,-61.18
"ap/MQT","MQT","Sawyer Intl Airport","US","MI","","MQT","",2,46.53,-87.41
"ap/MQY","MQY","Smyrna Arpt","US","TN","","MQY","",9,36.01,-86.51
"ap/MQZ","MQZ","Margaret River Arpt","AU","WA","","MQZ","QHF",9,-33.95,115.06
"ap/MRB","MRB","Martinsburgh Regional Arpt","US","WV","","MRB","",9,39.4,-77.98
"ap/MRC","MRC","Maury Country Arpt","US","TN","","MRC","",9,35.55,-87.17
"ap/MRD","MRD","Alberto Carnevalli Arpt","VE","","","MRD","",2,8.58,-71.16
"ap/MRE","MRE","Mara Lodges Arpt","KE","","","MRE","",2,-1.18,35.1
"ap/MRO","MRO","Masterton Arpt","NZ","","","MRO","",9,-40.96,175.63
"ap/MRS","MRS","Marseille Provence Arpt","FR","","","MRS","",2,43.43,5.21
"ap/MRU","MRU","Plaisance Arptt","MU","","","MRU","",2,-20.43,57.66
"ap/MRV","MRV","Mineralnye Vody Arpt","RU","","","MRV","",2,44.2,43
"ap/MRY","MRY","Monterey Peninsula","US","CA","","MRY","",2,36.59,-121.85
"ap/MRZ","MRZ","Moree Arpt","AU","NS","","MRZ","QHF",2,-29.46,149.85
"ap/MSB","MSB","Marigot Seaplane Base","GP","","","SFG","QHF",9,18.06,-63.1
"ap/MSC","MSC","Falcon Field","US","AZ","","MSC","",9,33.45,-111.72
"ap/MSE","MSE","Kent International Arpt","GB","","","MSE","",2,51.36,1.35
"ap/MSJ","MSJ","Misawa Arpt","JP","","","MSJ","",2,40.7,141.38
"ap/MSL","MSL","Muscle Shoals Arpt","US","AL","","MSL","",2,34.74,-87.61
"ap/MSN","MSN","Dane County Regional","US","WI","","MSN","",2,43.12,-89.33
"ap/MSO","MSO","Missoula Intl","US","MT","","MSO","",2,46.91,-114.08
"ap/MSP","MSP","Minneapolis St Paul Intl","US","MN","","MSP","",2,44.88,-93.21
"ap/MSQ","MSQ","Minsk Intl 2","BY","","","MSQ","",2,53.86,27.55
"ap/MSR","MSR","Mus Arpt","TR","","","MSR","",2,38.71,41.61
"ap/MSS","MSS","Richards Field","US","NY","","MSS","",2,44.93,-74.84
"ap/MST","MST","Maastricht Aachen Arpt","NL","","","MST","",2,50.91,5.76
"ap/MSU","MSU","Moshoeshoe Intl Arpt","LS","","","MSU","",2,-29.3,27.5
"ap/MSV","MSV","Catskills Sulivan","US","NY","","MSV","",9,41.7,-74.79
"ap/MSY","MSY","Louis Armstrong Intl Arpt","US","LA","","MSY","",2,29.98,-90.25
"ap/MTC","MTC","Selfridge Air Natl Guard","US","MI","","DTT","",9,43,-83
"ap/MTH","MTH","Marathon Arpt","US","FL","","MTH","",2,24.73,-81.04
"ap/MTJ","MTJ","Montrose County","US","CO","","MTJ","",2,38.5,-107.9
"ap/MTL","MTL","Maitland Airport","AU","NS","","MTL","QHF",9,-32.73,151.55
"ap/MTO","MTO","Coles County","US","IL","","MTO","",9,39.48,-88.28
"ap/MTP","MTP","Sky Portal Arpt","US","NY","","MTP","",9,41.08,-71.91
"ap/MTR","MTR","S Jeronimo Arpt","CO","","","MTR","",2,8.74,-75.87
"ap/MTS","MTS","Matsapha Intl Arpt","SZ","","","MTS","",2,-26.51,31.31
"ap/MTT","MTT","Minatitlan Municipal Arpt","MX","","","MTT","",2,17.98,-94.51
"ap/MTW","MTW","Manitowoc Municipal Arpt","US","WI","","MTW","",9,44.11,-87.66
"ap/MTY","MTY","Escobedo Arpt","MX","","","MTY","",2,25.77,-100.1
"ap/MUB","MUB","Maun Arpt","BW","","","MUB","",2,-19.98,23.42
"ap/MUC","MUC","Munich Intl Arpt","DE","","","MUC","",2,48.35,11.78
"ap/MUE","MUE","Waimea Arpt","US","HI","","MUE","",2,20,-155.67
"ap/MUN","MUN","Quiriquire Arpt","VE","","","MUN","",2,9.75,-63.18
"ap/MUO","MUO","Mountain Home AFB","US","ID","","MUO","QHF",9,43.04,-115.86
"ap/MUR","MUR","Marudi Arpt","MY","","","MUR","",2,4.18,114.31
"ap/MVB","MVB","Franceville Mvengue Arpt","GA","","","MVB","",2,-1.65,13.43
"ap/MVC","MVC","Monroe County Arpt","US","AL","","MVC","",9,31.55,-87.31
"ap/MVD","MVD","Carrasco Arpt","UY","","","MVD","",2,-34.78,-56.13
"ap/MVF","MVF","Dixsept Rosado Arpt","BR","","","MVF","",9,-5.18,-37.33
"ap/MVN","MVN","Mt Vernon Outland Arpt","US","IL","","MVN","",9,38.32,-88.85
"ap/MVQ","MVQ","Mogilev Arpt","BY","","","MVQ","",9,53.95,30.13
"ap/MVR","MVR","Salam Arpt","CM","","","MVR","",2,10.45,14.25
"ap/MVV","MVV","Megeve Arpt","FR","","","MVV","QHF",9,45.86,6.61
"ap/MVY","MVY","Dukes County","US","MA","","MVY","",2,41.38,-70.61
"ap/MVZ","MVZ","Ft Victoria Arpt","ZW","","","MVZ","",9,-20.06,30.86
"ap/MWA","MWA","Williamson County","US","IL","","MWA","",2,37.74,-89.01
"ap/MWH","MWH","Grant County","US","WA","","MWH","",2,47.2,-119.29
"ap/MWO","MWO","Hook Field","US","OH","","MWO","",9,39.53,-84.39
"ap/MWZ","MWZ","Mwanza Arpt","TZ","","","MWZ","",2,-2.45,32.92
"ap/MXL","MXL","Rodolfg Sachez Taboada","MX","","","MXL","",2,32.63,-115.24
"ap/MXN","MXN","Morlaix Arpt","FR","","","MXN","",9,48.6,-3.81
"ap/MXP","MXP","Malpensa Arpt","IT","","MIL","MIL","",2,45.64,8.72
"ap/MXS","MXS","Maota Arpt","WS","","","MXS","",2,-13.73,-172.25
"ap/MXX","MXX","Mora Arpt","SE","","","MXX","",2,61,14.55
"ap/MXY","MXY","McCarthy Arpt","US","AK","","MXY","QHF",9,61.41,-142.91
"ap/MXZ","MXZ","Meixian Arpt","CN","","","MXZ","",2,24.35,116.13
"ap/MYA","MYA","Moruya Arpt","AU","NS","","MYA","QHF",2,-35.9,150.15
"ap/MYC","MYC","Maracay Arpt","VE","","","MYC","",2,10.25,-67.6
"ap/MYD","MYD","Malindi Arpt","KE","","","MYD","",2,-3.25,40.08
"ap/MYF","MYF","Montgomery Field","US","CA","","SAN","",9,32.8,-117.13
"ap/MYJ","MYJ","Matsuyama Airport","JP","","","MYJ","",2,33.82,132.7
"ap/MYL","MYL","Mccall Arpt","US","ID","","MYL","",2,44.88,-116.1
"ap/MYP","MYP","Mary Arpt","TM","","","MYP","",9,37.6,61.83
"ap/MYQ","MYQ","Mysore Airport","IN","","","MYQ","",9,12.23,76.66
"ap/MYR","MYR","Myrtle Beach Jetway","US","SC","","MYR","",2,33.68,-78.92
"ap/MYV","MYV","Yuba County Arpt","US","CA","","MYV","",9,39.12,-121.6
"ap/MYW","MYW","Mtwara Arpt","TZ","","","MYW","",2,-10.33,40.18
"ap/MYY","MYY","Miri Arpt","MY","","","MYY","",2,4.33,113.98
"ap/MZG","MZG","Makung Arpt","TW","","","MZG","",2,23.53,119.58
"ap/MZI","MZI","Mopti Airport","ML","","","MZI","",9,14.5,-4.2
"ap/MZL","MZL","Santaguida Arpt","CO","","","MZL","QHF",2,5.09,-75.68
"ap/MZM","MZM","Frescaty Airport","FR","","","MZM","",9,49.07,6.12
"ap/MZO","MZO","Sierra Maestra Arpt","CU","","","MZO","",2,20.2,-77.5
